Kaons,,Pions,
X,Y,X,Y
0.02089136490250687,5.0185218082450935e-14,0.02646239554317542,6.231975248308e-11
0.0821727019498607,5.19913269792146e-14,0.06545961002785516,2.346612926747885e-10
0.16573816155988852,5.19913269792146e-14,0.12116991643454034,2.9529053056928995e-10
0.2214484679665738,1.436777887108676e-11,0.17130919220055718,3.6507327212256225e-10
0.2771587743732591,3.970528964782456e-13,0.22701949860724224,4.434381088521639e-10
0.32172701949860727,7.503085980720145e-13,0.266016713091922,5.018521808245093e-10
0.3718662952646239,1.106995545550084e-12,0.3272980501392757,5.386243568013616e-10
0.42200557103064074,1.5765100260176443e-12,0.3718662952646239,5.580088345420858e-10
0.47214484679665736,1.7841835847095006e-12,0.4275766016713092,5.884014095229171e-10
0.5278551532033426,2.091883180353921e-12,0.48328690807799446,6.315153004309094e-10
0.5779944289693593,2.540916556401237e-12,0.5334261838440111,6.315153004309094e-10
0.6281337047353759,2.926919301198707e-12,0.5779944289693593,6.315153004309094e-10
0.6838440111420614,3.431694646729813e-12,0.6337047353760445,6.20449350076452e-10
0.7284122562674096,3.683144942793198e-12,0.68941504178273,6.095773067534876e-10
0.7785515320334262,4.023523348788974e-12,0.733983286908078,5.988957726574276e-10
0.828690807799443,4.095284419410132e-12,0.7785515320334262,5.988957726574276e-10
0.8732590529247912,4.553541806352168e-12,0.8342618384401117,5.580088345420858e-10
0.934540389972145,4.395357877491766e-12,0.8844011142061281,5.386243568013616e-10
0.9791086350974934,4.7174185948265575e-12,0.934540389972145,5.199132697921461e-10
1.0348189415041784,4.801555551316417e-12,0.99025069637883,5.018521808245093e-10
1.073816155988858,4.801555551316417e-12,1.0292479108635098,4.5939694183454174e-10
1.1295264623955432,4.553541806352168e-12,1.0793871866295266,4.280336643015905e-10
1.1740947075208916,5.063077642158878e-12,1.1350974930362117,3.988115746783401e-10
1.2353760445682453,5.063077642158878e-12,1.17966573816156,3.7821184379655543e-10
1.2799442896935933,5.1533795593451495e-12,1.2242339832869085,3.4621621872855566e-10
1.3412256267409475,5.1533795593451495e-12,1.2799442896935933,3.169273307452958e-10
1.3857938718662954,5.1533795593451495e-12,1.3245125348189417,2.850325339883511e-10
1.4303621169916434,5.063077642158878e-12,1.3746518105849586,2.5634755210529e-10
1.4693593314763234,5.434064138094893e-12,1.4303621169916434,2.305493571237741e-10
1.5139275766016713,5.245292045601057e-12,1.4749303621169918,2.001444584903808e-10
1.5696378830083566,5.245292045601057e-12,1.5250696378830086,1.707047796754566e-10
1.6309192200557108,5.3388438260390334e-12,1.580779944289694,1.4304419878798948e-10
1.6810584958217272,5.434064138094893e-12,1.6309192200557108,1.2200351996820104e-10
1.7200557103064067,5.434064138094893e-12,1.6810584958217272,1.0405775984451234e-10
1.7701949860724235,5.3388438260390334e-12,1.7256267409470756,8.416740819092901e-11
1.8091922005571035,5.434064138094893e-12,1.7813370473537604,6.929325761801373e-11
1.8537604456824515,5.434064138094893e-12,1.8259052924791088,5.806514929589635e-11
1.9094707520891367,5.245292045601057e-12,1.8649025069637883,4.533461610047679e-11
1.9707520891364905,5.434064138094893e-12,1.920612813370474,3.6026484142731046e-11
2.032033426183844,5.434064138094893e-12,1.976323119777159,2.8629503706612427e-11
2.0654596100278555,5.245292045601057e-12,2.020891364902507,2.1576109056791385e-11
2.137883008356546,5.245292045601057e-12,2.071030640668524,1.6260445406290236e-11
2.1824512534818945,5.245292045601057e-12,2.1155988857938723,1.2695412981036229e-11
2.227019498607243,5.1533795593451495e-12,2.176880222841226,9.23530102094915e-12
2.266016713091922,5.1533795593451495e-12,2.2214484679665745,6.960018030430374e-12
2.3272980501392757,4.887193122454943e-12,2.266016713091922,5.1533795593451495e-12
2.3774373259052926,5.063077642158878e-12,2.3272980501392757,3.953019736925085e-12
2.422005571030641,4.887193122454943e-12,2.371866295264624,2.8756313218631945e-12
2.472144846796658,4.887193122454943e-12,2.4164345403899725,2.1291927132243522e-12
2.5334261838440115,4.974358072275674e-12,2.4665738161559894,1.63324682806062e-12
2.566852367688023,4.801555551316417e-12,2.527855153203343,1.2528199936071331e-12
2.6225626740947074,4.801555551316417e-12,2.566852367688023,9.276207214357889e-13
2.655988857938719,4.553541806352168e-12,2.6281337047353768,7.242438847239966e-13
2.7172701949860727,4.634755957934129e-12,2.667130919220056,5.268525173618861e-13
2.7785515320334264,4.553541806352168e-12,2.7284122562674105,4.113423784455644e-13
2.8286908077994433,4.318338663500895e-12,2.7785515320334264,3.10000763826431e-13
2.862116991643455,4.168325376044209e-12,2.823119777158775,2.3779330122220755e-13
2.9233983286908085,4.242669045945443e-12,2.8676880222841232,1.6697396202394217e-13
2.967966573816156,4.095284419410132e-12,2.9233983286908085,1.172459604651345e-13
3.034818941504178,4.168325376044209e-12,2.967966573816156,8.088527786557772e-14
3.0682451253481897,3.8837515495523406e-12,3.0292479108635098,5.679611345318094e-14
3.112813370473538,3.683144942793198e-12,0,0
3.174094707520892,3.748835234966424e-12,0,0
3.213091922005572,3.5551974323957594e-12,0,0
3.2743732590529255,3.5551974323957594e-12,0,0
3.3245125348189415,3.3715615627547324e-12,0,0
3.369080779944291,3.3124821820255972e-12,0,0
3.4136490250696383,3.197410998292971e-12,0,0
3.4693593314763236,2.9791220211702393e-12,0,0
3.525069637883009,2.9791220211702393e-12,0,0
3.5696378830083573,2.8252420542971558e-12,0,0
3.6253481894150426,2.6793104171791455e-12,0,0
3.681058495821728,2.6793104171791455e-12,0,0
3.7256267409470762,2.4963924467735487e-12,0,0
3.7701949860724238,2.4096711247781633e-12,0,0
3.837047353760446,2.325962385078621e-12,0,0
3.8704735376044574,2.2451615746105964e-12,0,0
3.9261838440111427,2.1291927132243522e-12,0,0
3.9763231197771596,2.0552274169776095e-12,0,0
4.0153203342618395,1.914915930326018e-12,0,0
4.076601671309193,1.816005178154961e-12,0,0
4.115598885793872,1.7529195963973305e-12,0,0
4.182451253481895,1.6920255230525463e-12,0,0
4.232590529247911,1.63324682806062e-12,0,0
4.27715877437326,1.5765100260176443e-12,0,0
4.321727019498608,1.4431418501243048e-12,0,0
4.360724233983287,1.3446177759671744e-12,0,0
4.42757660167131,1.3446177759671744e-12,0,0
4.472144846796658,1.2528199936071331e-12,0,0
4.522284122562675,1.1468350556666127e-12,0,0
4.566852367688023,1.1267392325217125e-12,0,0
4.622562674094708,1.0498161360907212e-12,0,0
4.678272980501394,9.955902027128692e-13,0,0
4.7284122562674105,9.955902027128692e-13,0,0
4.778551532033426,9.276207214357889e-13,0,0
4.828690807799444,8.491466987546479e-13,0,0
4.873259052924792,7.773113507963275e-13,0,0
4.91782729805014,7.503085980720145e-13,0,0
4.967966573816157,6.99084624523737e-13,0,0
